,아이가 좋아하는 동요모음. 2시간 20분.mp3,신나는 동요 피아노 연주곡 모음1_지치고 우울할 때.mp3,자장가(lullaby) 브람스( Brahms)아기수면음악 ♫오르골 (Orgel) ♫ 수면음악♫공부음악♫SleepingMusic♫Lullabies  For Babies.mp3,우리 아이가 좋아하는 NCS 노래 모음.mp3,🐮동요연속듣기🐴 인기동요모음 | 120분 연속재생 | 동물동요 | 광고없는 | 똑똑키즈 | 유치원동요 | 어린이동요ㅣ율동동요ㅣEducational Songs for Children.mp3,내가 먼저야 💢 | 생활습관 편 | 27분 동요모음 | 키키묘묘 | 어린이의 바른생활 | 교육동요 모음집 | 안전교육 | 노래 | 베이비버스 인기동요 동화 | BabyBus.mp3,Rock-a-bye Baby lullaby 💤 Bedtimes songs and nursery rhymes - HeyKids.mp3,#섬집아기 🎵 동요 자장가 | 10시간 | 피아노 + 오르골 + 풀벌레 소리 | 화면 꺼짐.mp3,Lullaby for Baby Fall Asleep in 3 Minutes ♫♫ Soothing Bedtime Lullabies For Baby Growth ♫ Good Night.mp3,"Brahms Lullaby for Babies, Hours of Soft Music.mp3",자장가 | 뽀로로 타요 자장가 1시간 이어듣기 | 우리 아이 꿀잠자는 수면 음악.mp3,🍎동요연속듣기🍌 인기동요 모음 | 120분 연속재생 | 동물동요 | 광고없는 | 똑똑키즈 | 유치원동요 | 어린이동요ㅣEducational Songs for Children.mp3,아기를 위한 모차르트 - 지능의 자극 - 자장가 #57.mp3,"[2018 웃는아이TV] ""전주공연making"" 무대뒤 ""초 리얼""한 모습!! 보시죠~!!.mp3","🍋주의력 결핍,과잉 행동 장애를 진정시키는 주파수 힐링 음악ㅣ주의력 향상ㅣ스트레스 감소ㅣ정확성 향상ㅣFrequency healing music for ADD .mp3",첫곡부터 가슴 적시는 동화감성 명곡 클래식 피아노 모음 | 모두의 클래식 | 남녀노소 | 스토리 클래식 | 선한영향력.mp3,Baby Fall Asleep In 3 Minutes With Soothing Lullabies 🎵 3 Hour Baby Sleep Music #104.mp3,"[중간광고X] Hair Dryer 10hrs 드라이기소리, 10시간, 아기재우기, 신생아 자장가 백색소음, 수면교육.mp3","Baby Sleep Music, Lullaby for Babies To Go To Sleep #067 Mozart for Babies Intelligence Stimulation.mp3",아기를 위한 모차르트  지능의 자극  자장가 #178.mp3,힐링 동요 피아노 연주음악 모음 1 I 감미로운 감성 피아노 연주곡.mp3,자장가연속듣기▶동요자장가 - 어린이 자장가 어린이집에서 틀어주는 EQ발달 기능성자장가 베스트 모음집.mp3,✨ BEST 마더구스 인기 영어동요 모음 🎵 | 1시간+ 연속재생 | Itsy Bitsy Spider외 25곡 | 어린이를 위한 Nursery Rhymes 모음집 | 드래곤디 동요.mp3,"3시간 잔잔한 수면음악 + 풀벌레소리 🎵 스트레스 해소음악, 잠잘때 듣는 음악, 불면증치료음악, 수면유도음악 (My Dream).mp3",12h Baby sleep white noise 🌙 Shh Next step ASMR 🎧 Rain sound + Silent music.mp3,[200만뷰] 우리 아이 🧑‍🎓 두뇌발달에 좋은 모차르트 음악들 ｜두뇌발달｜감성발달｜어린이집｜신나는 클래식｜아기 감성지수 높이기｜아이 클래식.mp3,[자장가클래식모음 1시간연속] 피아노 자장가 슈베르트 모짜르트 자장가 풀벌레소리 바람소리 ♬숙면유도♬수면음악 연속듣기 ♫ 자장가노래 ♫ 수면유도음악.mp3,"몸의 긴장을 풀어주는 힐링음악 + 물소리 🎵 마사지음악, 스파음악, 휴식음악, 수면유도음악.mp3",🍅동요연속듣기🍅 최신!!인기동요 모음 | 120분 연속재생 | 동물동요 | 광고없는 | 똑똑키즈 | 유치원동요 | 어린이동요ㅣEducational Songs for Children.mp3,"엄마 육퇴하게 해주는 베스트 아기동요 모음집 80분 ♪ | 산토끼, 악어떼 + 율동동요 묶음 | 인기동요 연속듣기 ★ 지니키즈.mp3",Baby Sleep Music ♫ Overcome Insomnia ♥ Mozart Brahms Lullaby - Sleep Instantly Within 3 Minutes.mp3,ASMR Sleep Like a Baby! 100+ Triggers Collection For Sleep (ASMR No Talking).mp3,아이가 좋아하는 영어동요. 광고없는 1시간 20분.mp3,🧠💤 최상의 숙면을 경험하세요. 깸 없는 깊은 잠을 돕는 수면단계별 뇌파 동조화 수면 사운드 - 90분 수면사이클 버전 & 기상알람 2회 (연구 논문 기반).mp3,신생아 음악은 지능을 향상시킵니다 ♫♫♫ Top 2022 신생아 음악 - 아기자장가.mp3,⚡동요연속듣기⚡ 유치원 인기 동요 | 아이들 시간순삭😋 | 1시간 연속재생 | 똑똑한 엄마들이 선택한 동요 베스트.mp3,"[섬집아기] 3시간 연속재생, 마음이 따뜻해지는 피아노 자장가 음악, 중간광고 x.mp3","The Aviary Village, Step 2 - Sky: Children of The Light ASMR.mp3",Baby Sensory Caterpillar's Garden. High Contrast Eye Tracking for Babies.mp3,[12시간] 쉬소리 + 빗소리 asmr | 아기 수면교육 | 청력 보호 백색소음 | 여행 영상 | 중간광고 없음.mp3,"5분만에 꿈나라 직행│쉬~소리+빗소리+물소리│수면교육 백색소음 │10시간 연속재생, 광고없음│whitenoise, shhh~.mp3",😍엄마와함께듣는 유치원 인기동요💖인기동요모음😍광고없는😍유치원동요💗어린이동요🎵송송키즈🙂동요연속듣기😍율동동요😍90분연속재생😍.mp3,"신생아재우기 - 울던 아이도 뚝 그치는! 쉬~소리+심장소리+물소리 10시간!, 5분뒤 화면꺼짐, 엄마뱃속 소리 재현! 신생아 안정, 백색소음, 수면음악, 수면발달유도.mp3",자장가 브람스 아기수면음악 ♫ 자장가 오르골 어린이 ♫ 수면음악 연속듣기 ♫ 아기자장가노래 ♫ 유아자장가 수면유도음악.mp3,"""버릇없는 우리 아이가 달라졌어요!"" 어사 박문수 등 2편🌛중간광고 없는 옛날이야기 1시간 연속 .mp3",Upbeat Kids Songs | Children's Song Collection | The Singing Walrus.mp3,브람스 느린 피아노+빗소리 자장가 4시간(Brahms Slow Lullaby Piano+Rain Sound 4hr Play_Dark screen after 30minutes).mp3,🥰 아이가 좋아하는 태교음악 🤰 .mp3,유아동요 모음 어린이동요 연속듣기 [큐리동요모음].mp3,🍅동요연속듣기🥦 최신! 인기동요 모음 | 120분 연속재생 | 동물동요 | 광고없는 | 똑똑키즈 | 유치원동요 | 어린이동요ㅣEducational Songs for Children.mp3,Hearing protection White Noise 🌙 Rain Piano ASMR | Newborn Baby Parents.mp3,TWO HOURS of gentle lullabies for babies - Baby Sleep Music.mp3,"baby sleep music ♥ With Waterfall sounds, Nature sounds - Mozart Effect for Babies.mp3",Soothing Cartoons and Bedtime Songs for Kids : Dreamy Lullabies with Beadies LIVE.mp3,시끄럽지 않은 진공청소기 소리🎧 · 아기 수면교육 [4시간] 백색소음 I Vacuum cleaner ASMR.mp3,(가사있는) 초등 교과서 수록 인기 동요 3.mp3,[Original] 신생아 자장가 엄마뱃속 소리 + 쉬~소리 백색소음 (10시간) | 자궁소리 ASMR과 그림영상.mp3
아이가 좋아하는 동요모음. 2시간 20분.mp3,1.0,0.84192836,0.81417555,0.9594782,0.91208076,0.87412775,0.88460755,0.7514924,0.8402129,0.79510826,0.85188615,0.9052275,0.753858,0.9857346,0.86619335,0.85253483,0.8829355,0.8090152,0.8402129,0.753858,0.8680519,0.8692002,0.9574855,0.78738874,0.79232216,0.84220105,0.81939,0.80005556,0.9349925,0.928134,0.79897237,0.6522377,0.9077303,0.7751112,0.781691,0.91127247,0.849472,0.8164455,0.91172,0.7113269,0.8664089,0.942486,0.96533215,0.76091385,0.7219348,0.90771496,0.86978316,0.805023,0.9551689,0.94079244,0.79812914,0.86157143,0.83524734,0.8517601,0.7962778,0.8761094,0.8999978
신나는 동요 피아노 연주곡 모음1_지치고 우울할 때.mp3,0.84192836,1.0,0.9921451,0.9522052,0.9703264,0.9885914,0.9908254,0.9222377,0.9984878,0.9951436,0.99343,0.9653695,0.97789335,0.85126734,0.9909733,0.99659556,0.9936134,0.84858733,0.9984878,0.97789335,0.99573225,0.99588853,0.94930494,0.9908519,0.9703207,0.99777114,0.9844135,0.98918945,0.9518168,0.96577346,0.99240535,0.9354267,0.9804995,0.9740542,0.9865518,0.9783804,0.9990281,0.9929699,0.9597656,0.93456376,0.95729756,0.9522264,0.92090845,0.97343725,0.9654578,0.95643044,0.9821792,0.99214494,0.93183035,0.9397206,0.9736813,0.9972463,0.9790394,0.99581933,0.91709316,0.98654455,0.95027316
자장가(lullaby) 브람스( Brahms)아기수면음악 ♫오르골 (Orgel) ♫ 수면음악♫공부음악♫SleepingMusic♫Lullabies  For Babies.mp3,0.81417555,0.9921451,0.99999994,0.9350254,0.9631729,0.987971,0.9821006,0.9280718,0.99096906,0.9912257,0.9915999,0.95821285,0.98709154,0.8232083,0.9703292,0.99011356,0.9889417,0.84986717,0.99096906,0.98709154,0.9813059,0.979462,0.927555,0.9925666,0.98378676,0.99450177,0.98740584,0.99243045,0.928931,0.9579845,0.9855705,0.9532105,0.9707601,0.9758987,0.98690015,0.965587,0.9888944,0.99484223,0.93503165,0.95935625,0.96241534,0.9302594,0.8988345,0.97648126,0.9781724,0.9469357,0.9715954,0.98093086,0.9118609,0.9133242,0.9859347,0.982341,0.98728734,0.9902189,0.93272215,0.9741487,0.92527515
우리 아이가 좋아하는 NCS 노래 모음.mp3,0.9594782,0.9522052,0.9350254,0.9999999,0.9857968,0.96932906,0.97741276,0.87522084,0.95220536,0.92722857,0.9556605,0.98268,0.89657784,0.95042545,0.95859283,0.9558414,0.9727204,0.8350872,0.95220536,0.89657784,0.96201766,0.9620357,0.9973196,0.92451423,0.92034584,0.95117664,0.9397432,0.93046284,0.98900926,0.99083346,0.9205768,0.8313474,0.98644483,0.91850585,0.9169411,0.98752743,0.9534716,0.93862,0.98241496,0.86314565,0.95187855,0.9929604,0.98237944,0.9030489,0.8809188,0.9834159,0.96497685,0.9294753,0.9931349,0.9878042,0.92419153,0.9609108,0.9372627,0.9586794,0.88034934,0.97419477,0.9712169
🐮동요연속듣기🐴 인기동요모음 | 120분 연속재생 | 동물동요 | 광고없는 | 똑똑키즈 | 유치원동요 | 어린이동요ㅣ율동동요ㅣEducational Songs for Children.mp3,0.91208076,0.9703264,0.9631729,0.9857968,1.0000001,0.9895408,0.98764926,0.92982346,0.97133577,0.95933306,0.9808025,0.9989247,0.9411902,0.90025467,0.9610634,0.9743953,0.9860199,0.81114906,0.97133577,0.9411902,0.9670551,0.9673789,0.98191154,0.95720786,0.96461344,0.9718653,0.9718117,0.9648592,0.9807584,0.9964297,0.947724,0.9004067,0.99567384,0.95896274,0.9538715,0.99639106,0.9672094,0.97165006,0.97527134,0.91744596,0.9707567,0.9845626,0.9505267,0.9504645,0.93553245,0.99137086,0.9802957,0.95072323,0.98326397,0.97512347,0.9664351,0.9697178,0.96226186,0.978191,0.89310074,0.9881625,0.9564657
내가 먼저야 💢 | 생활습관 편 | 27분 동요모음 | 키키묘묘 | 어린이의 바른생활 | 교육동요 모음집 | 안전교육 | 노래 | 베이비버스 인기동요 동화 | BabyBus.mp3,0.87412775,0.9885914,0.987971,0.96932906,0.9895408,1.0,0.9937893,0.9486973,0.9885507,0.9818211,0.9963227,0.98478854,0.9738292,0.8804631,0.9742109,0.98979294,0.99467593,0.8506003,0.9885507,0.9738292,0.98257756,0.9810383,0.9645992,0.9804926,0.98393464,0.9905065,0.9926479,0.9877751,0.9635231,0.98833466,0.97672063,0.93241787,0.9932643,0.9702413,0.97756875,0.9896457,0.9852907,0.99072015,0.96216345,0.948808,0.97665364,0.96654713,0.92984366,0.9716548,0.96269816,0.97620684,0.98422676,0.9758584,0.9569371,0.9515612,0.98637646,0.98352367,0.9877435,0.992702,0.92445695,0.98875856,0.9499755
Rock-a-bye Baby lullaby 💤 Bedtimes songs and nursery rhymes - HeyKids.mp3,0.88460755,0.9908254,0.9821006,0.97741276,0.98764926,0.9937893,1.0,0.92275864,0.9925317,0.98234534,0.9910431,0.98464996,0.96434945,0.8845013,0.98566115,0.989771,0.99483526,0.8300363,0.9925317,0.96434945,0.99041015,0.9887117,0.9760828,0.9803401,0.9699541,0.9877773,0.9848398,0.9844057,0.97813225,0.9874655,0.9736999,0.92017144,0.9952995,0.97385037,0.9703573,0.99457884,0.9882112,0.9849547,0.9783245,0.93081576,0.967912,0.97780716,0.9468587,0.9623804,0.95493186,0.9847312,0.99326897,0.98188347,0.96659476,0.96849424,0.97332436,0.9914839,0.9758583,0.9958773,0.90973365,0.99729204,0.97313505
#섬집아기 🎵 동요 자장가 | 10시간 | 피아노 + 오르골 + 풀벌레 소리 | 화면 꺼짐.mp3,0.7514924,0.9222377,0.9280718,0.87522084,0.92982346,0.9486973,0.92275864,1.0000002,0.92549956,0.93159443,0.950438,0.92451,0.94355625,0.77361435,0.8941569,0.9240769,0.9227169,0.7803927,0.92549956,0.94355625,0.9035249,0.8996637,0.87036484,0.9259872,0.9602154,0.9267105,0.95859337,0.9490336,0.87928754,0.9210627,0.9263684,0.9312853,0.92880535,0.9258811,0.93118745,0.9229958,0.9122147,0.94334066,0.8704066,0.93906325,0.9330862,0.8876004,0.78742874,0.950405,0.9423901,0.90534526,0.92203295,0.92446065,0.8796697,0.85896283,0.96104443,0.90700233,0.9425839,0.93344223,0.8789632,0.92166966,0.8565023
Lullaby for Baby Fall Asleep in 3 Minutes ♫♫ Soothing Bedtime Lullabies For Baby Growth ♫ Good Night.mp3,0.8402129,0.9984878,0.99096906,0.95220536,0.97133577,0.9885507,0.9925317,0.92549956,1.0000001,0.99528664,0.9933658,0.9673031,0.9782749,0.8472431,0.9916199,0.9934228,0.9921923,0.8320738,1.0000001,0.9782749,0.9949511,0.9942661,0.9512612,0.99056906,0.97122914,0.9946526,0.98615545,0.99058264,0.95683485,0.96779376,0.9896358,0.93838763,0.9827776,0.97905356,0.98155296,0.9809656,0.9967133,0.99185276,0.9626852,0.9361885,0.95775354,0.95574087,0.9181512,0.97548026,0.96708506,0.96146613,0.9865079,0.9946547,0.9353549,0.9444641,0.97474706,0.99683404,0.97708106,0.9964774,0.9114785,0.9888852,0.9574245
"Brahms Lullaby for Babies, Hours of Soft Music.mp3",0.79510826,0.9951436,0.9912257,0.92722857,0.95933306,0.9818211,0.98234534,0.93159443,0.99528664,0.99999976,0.9887788,0.9565986,0.9874614,0.8031798,0.9799645,0.9892068,0.9828575,0.8091562,0.99528664,0.9874614,0.98421526,0.98439586,0.92579377,0.9966526,0.97731495,0.99216723,0.98784566,0.9933744,0.93429965,0.95104325,0.9911882,0.9625132,0.9695756,0.9860574,0.9914424,0.96715057,0.9915925,0.9946707,0.9456287,0.9508787,0.9477109,0.93203324,0.88891786,0.9858989,0.9819701,0.94732004,0.9761521,0.992886,0.9097111,0.92057055,0.97956187,0.98842216,0.97221595,0.9913061,0.8995563,0.9815699,0.9355381
